L4 | Tue Feb 16 16:37:22 2021 (695 ms) | general | New game starting up
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (42 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (43 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (44 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (44 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (45 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (45 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (45 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (45 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (46 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (46 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (46 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (46 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (46 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (48 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (49 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (49 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (49 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (49 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (50 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (50 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (50 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (50 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (50 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (50 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (51 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (51 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (51 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:23 2021 (51 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (51 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (52 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (52 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (52 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:23 2021 (52 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L4 | Tue Feb 16 16:37:32 2021 (245 ms) | general | New game starting up
L4 | Tue Feb 16 16:37:32 2021 (245 ms) | general | Target game image size:  1280x720

L4 | Tue Feb 16 16:37:32 2021 (246 ms) | general | Ideal window dimensions:  1280x720

L4 | Tue Feb 16 16:37:32 2021 (246 ms) | general | Trying to start in window mode.
L4 | Tue Feb 16 16:37:32 2021 (247 ms) | general | Want to use largest window that fits on screen.
L4 | Tue Feb 16 16:37:32 2021 (247 ms) | general | Screen dimensions for largest-window mode:  1612x907

L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | The following frame rates are considered possible:
L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | 30 fps
L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | 60 fps
L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | 100 fps
L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | 120 fps
L4 | Tue Feb 16 16:37:32 2021 (248 ms) | general | 144 fps
L4 | Tue Feb 16 16:37:32 2021 (252 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Tue Feb 16 16:37:32 2021 (252 ms) | general | All resolutions available
L4 | Tue Feb 16 16:37:32 2021 (507 ms) | general | Successfully faked opening of audio for recording to file: 44100Hz

L1 | Tue Feb 16 16:37:32 2021 (507 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (509 ms) | general | CRITICAL ERROR:  TGA file graphics\instructions.tga does not exist
L4 | Tue Feb 16 16:37:32 2021 (510 ms) | general | OneLife client v256 (binV=256, dataV=0) starting up
L1 | Tue Feb 16 16:37:32 2021 (510 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (510 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_handwriting_32_32.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_handwriting_32_32.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_pencil_32_32.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (511 ms) | general | CRITICAL ERROR:  TGA file graphics\font_pencil_erased_32_32.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (512 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (512 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (512 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (512 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (513 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (514 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (515 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (516 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (517 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (517 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (518 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (518 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (518 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (519 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (519 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (519 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (519 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (519 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (520 ms) | general | CRITICAL ERROR:  TGA file graphics\loading.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (520 ms) | general | CRITICAL ERROR:  TGA file graphics\loading2.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\loading3.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\responseWarning.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\hiddenFieldTexture.tga does not exist
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (521 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (521 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMarkOff.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (521 ms) | general | Failed to read file for SpriteButton: checkMarkOff.tga
L1 | Tue Feb 16 16:37:32 2021 (521 ms) | general | CRITICAL ERROR:  TGA file graphics\checkMark.tga does not exist
L2 | Tue Feb 16 16:37:32 2021 (521 ms) | general | Failed to read file for SpriteToggleButton: checkMark.tga
